Time	(10) Kp*error	(13) Kd*de/dt	(14) Kp*e+Kd*de/dt CCW	
0.0406	-0.05994695	-0.05991432	-0.05969724	
0.0408	-0.059952	-0.05992247	-0.05971134	
0.041	-0.05995657	-0.05992985	-0.0597255	
0.0412	-0.0599607	-0.05993652	-0.05973959	
0.0414	-0.05996444	-0.05994257	-0.05975347	
0.0416	-0.05996782	-0.05994803	-0.05976707	
0.0418	-0.05997089	-0.05995298	-0.05978032	
0.042	-0.05997366	-0.05995745	-0.05979315	
0.0422	-0.05997616	-0.0599615	-0.05980553	
0.0424	-0.05997843	-0.05996516	-0.05981742	
0.0426	-0.05998048	-0.05996848	-0.05982881	
0.0428	-0.05998234	-0.05997148	-0.05983969	
0.043	-0.05998079	-0.05997419	-0.05985005	
0.0432	-0.0599744	-0.05997665	-0.05985954	
0.0434	-0.05996376	-0.05997887	-0.05986772	
0.0436	-0.05994949	-0.05998088	-0.05987422	
0.0438	-0.05993222	-0.0599827	-0.0598788	
0.044	-0.0599126	-0.05998435	-0.05988131	
0.0442	-0.05989127	-0.05998584	-0.05988167	
0.0444	-0.05986886	-0.05998718	-0.0598799	
0.0446	-0.05984601	-0.05998739	-0.05987605	
0.0448	-0.05982332	-0.05998497	-0.05987018	
0.045	-0.05980137	-0.05997927	-0.05986219	
0.0452	-0.0597807	-0.05997049	-0.05985204	
0.0454	-0.05976182	-0.05995913	-0.05983973	
0.0456	-0.0597452	-0.05994568	-0.05982538	
0.0458	-0.05973123	-0.05993063	-0.05980922	
0.046	-0.05972029	-0.05991448	-0.05979152	
0.0462	-0.05971265	-0.05989773	-0.05977263	
0.0464	-0.05970856	-0.05988085	-0.05975296	
0.0466	-0.05970816	-0.05986429	-0.05973294	
0.0468	-0.05971157	-0.0598485	-0.05971303	
0.047	-0.05971881	-0.05983388	-0.05969371	
0.0472	-0.05972983	-0.05982079	-0.05967545	
0.0474	-0.05974454	-0.05980958	-0.05965872	
0.0476	-0.05976277	-0.05980054	-0.05964395	
0.0478	-0.05978428	-0.05979391	-0.05963156	
0.048	-0.05980481	-0.0597899	-0.05962193	
0.0482	-0.05982338	-0.05978866	-0.05961497	
0.0484	-0.05984019	-0.05979021	-0.05961051	
0.0486	-0.0598554	-0.05979462	-0.05960842	
0.0488	-0.05986916	-0.05980187	-0.0596086	
0.049	-0.05988161	-0.05981194	-0.059611	
0.0492	-0.05989288	-0.05982472	-0.05961555	
0.0494	-0.05990307	-0.05984007	-0.05962222	
0.0496	-0.05991229	-0.05985529	-0.05963096	
0.0498	-0.05992064	-0.05986906	-0.05964145	
0.05	-0.05992819	-0.05988152	-0.05965329	
0.0502	-0.05993503	-0.0598928	-0.05966612	
0.0504	-0.05994121	-0.059903	-0.05967964	
0.0506	-0.05994681	-0.05991223	-0.05969362	
0.0508	-0.05995187	-0.05992058	-0.05970783	
0.051	-0.05995645	-0.05992814	-0.05972211	
0.0512	-0.05996059	-0.05993498	-0.05973633	
0.0514	-0.05996434	-0.05994117	-0.05975034	
0.0516	-0.05996773	-0.05994676	-0.05976408	
0.0518	-0.05997081	-0.05995183	-0.05977747	
0.052	-0.05997358	-0.05995641	-0.05979044	
0.0522	-0.0599761	-0.05996056	-0.05980296	
0.0524	-0.05997837	-0.05996431	-0.05981499	
