Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0.043	-0.05933465	-0.0595791	-0.0590112	
0.0432	-0.05933173	-0.05956688	-0.05899058	
0.0434	-0.05932903	-0.05955484	-0.05897034	
0.0436	-0.05932651	-0.05954298	-0.05895048	
0.0438	-0.05932418	-0.05953132	-0.058931	
0.044	-0.05932201	-0.05951985	-0.05891191	
0.0442	-0.05932	-0.0595086	-0.05889321	
0.0444	-0.05931814	-0.05949756	-0.05887491	
0.0446	-0.05931642	-0.05948674	-0.05885699	
0.0448	-0.05931482	-0.05947614	-0.05883946	
0.045	-0.05931334	-0.05946577	-0.05882233	
0.0452	-0.05931197	-0.05945562	-0.05880559	
0.0454	-0.0593107	-0.05944571	-0.05878924	
0.0456	-0.05930953	-0.05943603	-0.05877328	
0.0458	-0.05930845	-0.05942659	-0.0587577	
0.046	-0.05930745	-0.05941737	-0.0587425	
0.0462	-0.05930653	-0.0594084	-0.05872769	
0.0464	-0.05930568	-0.05939965	-0.05871325	
0.0466	-0.05930489	-0.05939114	-0.05869918	
0.0468	-0.05930416	-0.05938286	-0.05868548	
0.047	-0.05930349	-0.0593748	-0.05867215	
0.0472	-0.05930287	-0.05936697	-0.05865917	
0.0474	-0.0593023	-0.05935936	-0.05864654	
0.0476	-0.05930178	-0.05935198	-0.05863427	
0.0478	-0.0593013	-0.05934481	-0.05862234	
0.048	-0.05930085	-0.05933786	-0.05861074	
0.0482	-0.05930044	-0.05933112	-0.05859948	
0.0484	-0.05930007	-0.05932458	-0.05858855	
0.0486	-0.05929972	-0.05931825	-0.05857793	
0.0488	-0.0592994	-0.05931211	-0.05856763	
0.049	-0.0592991	-0.05930618	-0.05855764	
0.0492	-0.05929884	-0.05930043	-0.05854795	
0.0494	-0.05929859	-0.05929487	-0.05853855	
0.0496	-0.05929836	-0.0592895	-0.05852944	
0.0498	-0.05929815	-0.0592843	-0.05852062	
0.05	-0.05929796	-0.05927928	-0.05851208	
0.0502	-0.05929778	-0.05927443	-0.0585038	
0.0504	-0.05929761	-0.05926974	-0.05849579	
0.0506	-0.05929746	-0.05926521	-0.05848803	
0.0508	-0.05929733	-0.05926085	-0.05848053	
0.051	-0.0592972	-0.05925664	-0.05847328	
0.0512	-0.05929709	-0.05925257	-0.05846626	
0.0514	-0.05929698	-0.05924865	-0.05845948	
0.0516	-0.05929688	-0.05924487	-0.05845292	
0.0518	-0.05929679	-0.05924123	-0.05844658	
0.052	-0.05929671	-0.05923772	-0.05844046	
0.0522	-0.05929664	-0.05923434	-0.05843455	
0.0524	-0.05929657	-0.05923108	-0.05842884	
0.0526	-0.05929651	-0.05922795	-0.05842333	
0.0528	-0.05929645	-0.05922493	-0.05841801	
0.053	-0.0592964	-0.05922203	-0.05841287	
0.0532	-0.05929635	-0.05921923	-0.05840792	
0.0534	-0.0592963	-0.05921655	-0.05840315	
0.0536	-0.05929626	-0.05921396	-0.05839854	
0.0538	-0.05929622	-0.05921148	-0.0583941	
0.054	-0.05929619	-0.05920909	-0.05838982	
0.0542	-0.05929616	-0.05920679	-0.0583857	
0.0544	-0.05929613	-0.05920459	-0.05838173	
0.0546	-0.05929611	-0.05920247	-0.0583779	
0.0548	-0.05929608	-0.05920044	-0.05837422	
0.055	-0.05929606	-0.05919849	-0.05837067	
0.0552	-0.05929604	-0.05919661	-0.05836726	
0.0554	-0.05929602	-0.05919482	-0.05836397	
0.0556	-0.059296	-0.05919309	-0.05836081	
0.0558	-0.05929599	-0.05919144	-0.05835776	
0.056	-0.05929597	-0.05918986	-0.05835484	
0.0562	-0.05929596	-0.05918834	-0.05835203	
0.0564	-0.05929595	-0.05918688	-0.05834932	
0.0566	-0.05929594	-0.05918549	-0.05834672	
0.0568	-0.05929593	-0.05918415	-0.05834422	
0.057	-0.05929592	-0.05918287	-0.05834182	
0.0572	-0.05929591	-0.05918165	-0.05833952	
0.0574	-0.0592959	-0.05918048	-0.0583373	
0.0576	-0.0592959	-0.05917935	-0.05833518	
0.0578	-0.05929589	-0.05917829	-0.05833314	
0.058	-0.05929589	-0.05917726	-0.05833118	
0.0582	-0.05929588	-0.05917628	-0.05832931	
0.0584	-0.05929587	-0.05917535	-0.05832751	
0.0586	-0.05929587	-0.05917446	-0.05832578	
0.0588	-0.05929587	-0.05917361	-0.05832412	
0.059	-0.05929586	-0.05917279	-0.05832254	
0.0592	-0.05929586	-0.05917202	-0.05832102	
0.0594	-0.05929586	-0.05917129	-0.05831956	
0.0596	-0.05929585	-0.05917058	-0.05831817	
0.0598	-0.05929585	-0.05916991	-0.05831683	
0.06	-0.05929585	-0.05916927	-0.05831556	
0.0602	-0.05929585	-0.05916867	-0.05831433	
0.0604	-0.05929584	-0.05916809	-0.05831316	
0.0606	-0.05929584	-0.05916755	-0.05831205	
0.0608	-0.05929584	-0.05916703	-0.05831098	
0.061	-0.05929584	-0.05916654	-0.05830996	
0.0612	-0.05929584	-0.05916607	-0.05830899	
0.0614	-0.05929584	-0.05916563	-0.05830806	
0.0616	-0.05929584	-0.05916521	-0.05830717	
0.0618	-0.05929583	-0.05916482	-0.05830633	
0.062	-0.05929583	-0.05916445	-0.05830552	
0.0622	-0.05929583	-0.05916409	-0.05830475	
0.0624	-0.05929583	-0.05916376	-0.05830402	
0.0626	-0.05929583	-0.05916345	-0.05830332	
0.0628	-0.05929581	-0.05916316	-0.05830266	
0.063	-0.0592958	-0.05916288	-0.05830203	
0.0632	-0.05929576	-0.05916262	-0.05830143	
0.0634	-0.05929572	-0.05916238	-0.05830085	
0.0636	-0.05929567	-0.05916216	-0.0583003	
0.0638	-0.05929561	-0.05916195	-0.05829978	
0.064	-0.05929554	-0.05916175	-0.05829927	
0.0642	-0.05929546	-0.05916157	-0.05829879	
0.06439999	-0.05929537	-0.0591614	-0.05829833	
0.0646	-0.05929528	-0.05916124	-0.05829788	
0.0648	-0.05929518	-0.0591611	-0.05829745	
0.065	-0.05929508	-0.05916096	-0.05829703	
0.0652	-0.05929497	-0.05916083	-0.05829663	
0.0654	-0.05929486	-0.05916072	-0.05829625	
0.0656	-0.05929475	-0.05916061	-0.05829588	
0.0658	-0.05929464	-0.05916051	-0.05829551	
0.066	-0.05929453	-0.05916042	-0.05829517	
0.0662	-0.05929441	-0.05916033	-0.05829483	
0.0664	-0.0592943	-0.05916025	-0.0582945	
0.06659999	-0.05929419	-0.05916018	-0.05829419	
